1,Seabiscuit (2003)
1,Dracula (Bram Stoker's Dracula) (1992)
1,Transporter 2 (2005)
1,Star Wars: Episode V - The Empire Strikes Back (1980)
2,American Beauty (1999)
2,"Lady Eve, The (1941)"
2,Apollo 13 (1995)
2,American Beauty (1999)
2,Edward Scissorhands (1990)
3,Drugstore Cowboy (1989)
3,Forrest Gump (1994)
3,"Princess Bride, The (1987)"
3,Patriot Games (1992)
3,Seabiscuit (2003)
4,Fluke (1995)
4,Batman Forever (1995)
4,Muriel's Wedding (1994)
4,Star Wars: Episode V - The Empire Strikes Back (1980)
4,Pulp Fiction (1994)
5,"Lady Eve, The (1941)"
5,"Sound of Music, The (1965)"
5,Singin' in the Rain (1952)
5,"Little Mermaid, The (1989)"
5,Drugstore Cowboy (1989)
6,Patriot Games (1992)
6,Master and Commander: The Far Side of the World (2003)
6,Master and Commander: The Far Side of the World (2003)
6,Rabbit-Proof Fence (2002)
6,Seabiscuit (2003)
7,Saving Private Ryan (1998)
7,Star Wars: Episode V - The Empire Strikes Back (1980)
7,Drugstore Cowboy (1989)
7,Wallace & Gromit: The Best of Aardman Animation (1996)
7,Rugrats in Paris: The Movie (2000)
8,District 9 (2009)
8,Memento (2000)
8,Reservoir Dogs (1992)
8,Drugstore Cowboy (1989)
8,Enemy at the Gates (2001)
9,Drugstore Cowboy (1989)
9,Enemy at the Gates (2001)
9,American Beauty (1999)
9,Pulp Fiction (1994)
9,American Beauty (1999)
10,Reservoir Dogs (1992)
10,Seabiscuit (2003)
10,American Beauty (1999)
10,Seabiscuit (2003)
10,"Lady Eve, The (1941)"
11,Reservoir Dogs (1992)
11,Pulp Fiction (1994)
11,Citizen Kane (1941)
11,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
11,"Last of the Mohicans, The (1992)"
12,Army of Darkness (1993)
12,"Blues Brothers, The (1980)"
12,As Good as It Gets (1997)
12,Star Wars: Episode V - The Empire Strikes Back (1980)
12,As Good as It Gets (1997)
13,Toy Story (1995)
13,Drugstore Cowboy (1989)
13,Forrest Gump (1994)
13,"Jungle Book, The (1994)"
13,Rob Roy (1995)
14,Star Wars: Episode V - The Empire Strikes Back (1980)
14,Toy Story (1995)
14,Back to the Future Part II (1989)
14,Rugrats in Paris: The Movie (2000)
14,Addams Family Values (1993)
15,Memento (2000)
15,Reservoir Dogs (1992)
15,White Men Can't Jump (1992)
15,"Departed, The (2006)"
15,"Departed, The (2006)"
16,Reservoir Dogs (1992)
16,Ex Machina (2015)
16,American Beauty (1999)
16,"Lady Eve, The (1941)"
16,"Lady Eve, The (1941)"
17,Memento (2000)
